w1gmag,w1gerr,w2gmag,w2gerr,w3gmag,w3gerr,w1mag_2,w1sigm_2,w2mag_2,w2sigm_2,w3mag_2,w3sigm_2,w1gflg,w1flg_2,w2gflg,w2flg_2,w3gflg,w3flg_2,fiberMag_g,fiberMagErr_g,fiberMag_r,fiberMagErr_r,cc_flags
12.217,0.006,12.168,0.008,9.425,0.013,12.362,0.006,12.329,0.008,9.626,0.013,0.0,0.0,0.0,0.0,0.0,0.0,17.30945,0.003017233,16.60668,0.002253841,0000
12.291,0.007,11.865,0.008,8.115,0.008,12.448,0.007,12.027,0.008,8.34,0.008,0.0,0.0,0.0,0.0,0.0,0.0,18.31236,0.006696378,17.71967,0.005622825,0000
12.651,0.011,12.436,0.013,8.764,0.011,12.751,0.011,12.549,0.014,8.915,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1e+20,1e+20,1e+20,1e+20,00P0
13.451,0.01,13.355,0.018,10.041,0.026,13.493,0.01,13.402,0.019,10.09,0.026,1.0,1.0,1.0,1.0,1.0,1.0,19.22152,0.0153333,18.66403,0.01171847,0000
13.136,0.009,13.087,0.017,10.639,0.085,13.12,0.009,13.063,0.017,10.582,0.085,1.0,1.0,1.0,1.0,1.0,1.0,18.55347,0.006676649,17.69839,0.004612844,0000
13.15,0.012,13.112,0.025,10.144,0.044,13.529,0.011,13.502,0.027,10.588,0.049,0.0,0.0,0.0,0.0,0.0,0.0,19.02546,0.007710484,18.44828,0.006890843,0000
13.584,0.015,13.582,0.035,10.652,0.108,13.817,0.017,13.827,0.039,10.911,0.12,0.0,0.0,0.0,0.0,0.0,0.0,1e+20,1e+20,1e+20,1e+20,0000
11.705,0.009,11.577,0.011,8.252,0.011,12.26,0.009,12.166,0.011,8.964,0.013,0.0,0.0,0.0,0.0,0.0,0.0,17.96236,0.004115504,17.21288,0.003033329,0000
13.532,0.014,13.387,0.022,10.198,0.032,13.526,0.014,13.376,0.022,10.173,0.032,1.0,1.0,1.0,1.0,1.0,1.0,19.19607,0.008969853,18.38684,0.006684978,0000
12.401,0.006,12.304,0.011,9.038,0.015,12.805,0.007,12.725,0.012,9.565,0.017,0.0,0.0,0.0,0.0,0.0,0.0,18.38993,0.005664216,17.66992,0.004011207,0000
13.425,0.008,13.35,0.026,10.026,0.026,13.43,0.008,13.355,0.027,10.025,0.026,1.0,1.0,1.0,1.0,1.0,1.0,18.919,0.007452281,18.19441,0.006231693,0000
13.185,0.011,13.083,0.015,10.033,0.03,13.415,0.012,13.317,0.016,10.294,0.033,1.0,1.0,1.0,1.0,1.0,1.0,19.08736,0.0137802,18.45747,0.01397294,hh00
13.397,0.011,13.383,0.025,10.992,0.077,13.375,0.011,13.355,0.026,10.938,0.078,1.0,1.0,1.0,1.0,1.0,1.0,18.5463,0.007046404,17.71759,0.004407755,0000
11.522,0.006,11.352,0.008,7.676,0.007,11.858,0.006,11.71,0.008,8.131,0.008,0.0,0.0,0.0,0.0,0.0,0.0,17.67005,0.004390936,16.89921,0.003050278,0000
12.818,0.008,12.8,0.028,10.572,0.075,12.915,0.008,12.906,0.029,10.723,0.08,1.0,1.0,1.0,1.0,1.0,1.0,17.95469,0.004233095,17.1761,0.003553643,0000
12.184,0.007,12.118,0.011,9.265,0.019,12.427,0.007,12.367,0.011,9.549,0.02,0.0,0.0,0.0,0.0,0.0,0.0,18.1184,0.005666555,17.19024,0.003735157,0000
13.16,0.01,13.123,0.023,9.768,0.035,13.254,0.01,13.221,0.024,9.887,0.036,0.0,0.0,0.0,0.0,0.0,0.0,18.81804,0.007467415,18.22117,0.006233169,0000
12.222,0.006,12.162,0.009,9.308,0.016,12.451,0.006,12.401,0.009,9.618,0.017,1.0,0.0,1.0,0.0,0.0,0.0,1e+20,1e+20,1e+20,1e+20,0000
12.778,0.008,12.656,0.016,9.04,0.011,12.914,0.008,12.791,0.017,9.183,0.012,0.0,0.0,0.0,0.0,0.0,0.0,17.73252,0.02262482,17.40907,0.03070073,0000
14.191,0.02,14.15,0.046,11.352,0.216,14.165,0.02,14.124,0.046,11.327,0.217,1.0,1.0,17.0,17.0,1.0,1.0,19.01011,0.008131007,18.59279,0.008729047,h000
11.737,0.006,11.694,0.014,8.487,0.015,12.899,0.007,12.891,0.017,9.827,0.021,0.0,0.0,0.0,0.0,0.0,0.0,18.72566,0.006197678,18.01074,0.005469826,0000
12.022,0.007,11.961,0.014,9.254,0.031,12.486,0.007,12.434,0.015,9.754,0.034,0.0,0.0,0.0,0.0,0.0,0.0,18.42047,0.005781136,17.50033,0.004278364,0000
13.174,0.009,12.967,0.018,9.301,0.019,13.272,0.009,13.068,0.018,9.417,0.02,1.0,1.0,1.0,1.0,1.0,1.0,18.73923,0.008389186,18.15213,0.006498852,0000
11.672,0.006,11.507,0.01,7.845,0.008,12.128,0.006,11.97,0.01,8.381,0.008,0.0,0.0,0.0,0.0,0.0,0.0,18.36106,0.008650115,17.54972,0.005381831,0000
13.357,0.009,13.24,0.014,10.379,0.04,13.386,0.009,13.274,0.015,10.425,0.042,0.0,0.0,0.0,0.0,0.0,0.0,18.6392,0.006468538,17.82839,0.004013412,0000
12.205,0.006,12.081,0.007,8.626,0.01,12.458,0.006,12.354,0.008,8.995,0.01,0.0,0.0,0.0,0.0,0.0,0.0,18.28047,0.00550262,17.48234,0.003929988,0000
10.768,0.006,10.604,0.006,7.386,0.008,11.54,0.006,11.391,0.006,8.32,0.009,0.0,0.0,0.0,0.0,0.0,0.0,19.06917,0.009264296,18.16648,0.006196764,0000
12.308,0.006,12.218,0.012,9.395,0.018,12.657,0.006,12.59,0.013,9.872,0.021,0.0,0.0,0.0,0.0,0.0,0.0,18.55501,0.007383879,17.62419,0.003875604,0000
13.009,0.008,12.656,0.012,8.619,0.012,13.129,0.008,12.777,0.013,8.781,0.013,0.0,0.0,0.0,0.0,0.0,0.0,17.89669,0.00389431,17.60446,0.004295255,0000
14.287,0.019,14.198,0.03,10.702,0.048,14.285,0.02,14.191,0.031,10.705,0.049,1.0,1.0,1.0,1.0,1.0,1.0,19.06249,0.008706872,18.61309,0.008230718,0000
12.671,0.007,12.667,0.01,11.562,0.06,12.749,0.007,12.753,0.01,11.673,0.062,0.0,0.0,0.0,0.0,0.0,0.0,18.634,0.007810956,17.46869,0.004593645,0000
12.762,0.007,12.607,0.011,9.482,0.011,12.782,0.007,12.63,0.011,9.515,0.011,0.0,0.0,0.0,0.0,0.0,0.0,18.25919,0.005033401,17.36559,0.00356766,0000
13.855,0.016,13.76,0.018,10.671,0.042,13.785,0.016,13.683,0.018,10.569,0.042,0.0,0.0,0.0,0.0,0.0,0.0,18.47002,0.005726413,18.03415,0.004889854,0000
14.666,0.022,14.526,0.093,12.34,0.397,14.651,0.023,14.507,0.095,12.324,0.407,0.0,0.0,0.0,0.0,0.0,0.0,19.16751,0.0108624,18.69104,0.009651703,0000
13.087,0.009,13.065,0.019,10.504,0.043,13.297,0.01,13.293,0.021,10.742,0.047,1.0,1.0,1.0,1.0,1.0,1.0,19.00864,0.008745749,18.17702,0.006122214,0000
13.266,0.008,13.178,0.021,10.725,0.072,13.346,0.009,13.261,0.022,10.816,0.075,1.0,1.0,1.0,1.0,1.0,1.0,19.28936,0.01012398,18.26112,0.006399154,0000
13.195,0.01,13.154,0.023,9.988,0.036,13.296,0.01,13.257,0.024,10.106,0.038,1.0,1.0,1.0,1.0,1.0,1.0,18.92369,0.09174757,18.10745,0.07840261,0000
13.055,0.008,12.941,0.015,10.316,0.039,13.084,0.008,12.971,0.016,10.339,0.04,1.0,1.0,1.0,1.0,1.0,1.0,18.83955,0.01742985,17.89237,0.01002043,0000
13.163,0.008,13.068,0.013,9.743,0.022,13.315,0.008,13.232,0.013,9.969,0.024,1.0,1.0,1.0,1.0,1.0,1.0,18.72912,0.007796396,18.14557,0.00605553,0000
13.931,0.016,13.875,0.029,10.544,0.047,13.929,0.016,13.866,0.029,10.527,0.048,1.0,1.0,1.0,1.0,1.0,1.0,18.58044,0.03374714,18.27419,0.03305278,0000
13.079,0.009,12.932,0.017,9.617,0.021,13.08,0.009,12.93,0.018,9.61,0.021,0.0,0.0,0.0,0.0,0.0,0.0,19.58704,0.01075563,18.54582,0.008131322,0000
13.545,0.012,13.472,0.024,10.412,0.054,13.587,0.012,13.508,0.026,10.427,0.056,1.0,1.0,1.0,1.0,1.0,1.0,19.38815,0.0113838,18.61268,0.007956868,0000
13.515,0.01,13.405,0.019,10.188,0.037,13.446,0.01,13.328,0.019,10.09,0.037,1.0,1.0,1.0,1.0,1.0,1.0,18.97411,0.008478274,18.24864,0.00572234,d000
13.608,0.015,13.519,0.025,10.329,0.059,13.584,0.016,13.493,0.026,10.293,0.061,1.0,1.0,1.0,1.0,1.0,1.0,18.72924,0.007448187,18.04398,0.00544246,0000
14.067,0.017,14.018,0.043,10.878,0.103,14.069,0.017,14.02,0.044,10.879,0.104,1.0,0.0,1.0,0.0,0.0,0.0,19.00249,0.009344437,18.64822,0.008831637,0000
13.806,0.012,13.715,0.036,10.668,0.043,13.718,0.012,13.619,0.036,10.556,0.043,1.0,1.0,1.0,1.0,1.0,1.0,19.14163,0.009689351,18.47684,0.007095781,0000
13.471,0.01,13.418,0.017,10.46,0.049,13.494,0.011,13.442,0.018,10.477,0.05,17.0,17.0,1.0,1.0,1.0,1.0,1e+20,1e+20,1e+20,1e+20,0000
